Region;Name;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
УСТЮГ500;rdcpnt500;39;3,154;0,243;39;
УФА500;rdcpnt500;36;3,139;0,241;36;
ГРОЗНЫЙ1000;rdcpnt1000;11;3,818;0,294;11;
МОСКВА1000;rdcpnt1000;1;13;1;1;
ПЕТРОЗАВОДСК1000;rdcpnt1000;4;5,5;0,423;4;
РОСТОВ-ДОН1000;rdcpnt1000;2;8;0,615;2;
САЛЕХАРД1000;rdcpnt1000;0;0;0;0;
СУРГУТ1000;rdcpnt1000;4;4,75;0,365;4;
УСТЮГ1000;rdcpnt1000;3;6;0,462;3;
УФА1000;rdcpnt1000;3;6,333;0,487;3;
ВОРОНЕЖ200;rdspnt200;0;0;0;0;
ГРОЗНЫЙ200;rdspnt200;32;2,656;0,266;32;
МОСКВА200;rdspnt200;15;2,533;0,253;15;
ПЕТРОЗАВОДСК200;rdspnt200;0;0;0;0;
РОСТОВ-ДОН200;rdspnt200;25;2,32;0,232;25;
САЛЕХАРД200;rdspnt200;0;0;0;0;
СУРГУТ200;rdspnt200;2;6;0,6;2;
УСТЮГ200;rdspnt200;0;0;0;0;
УФА200;rdspnt200;0;0;0;0;
ВОРОНЕЖ500;rdspnt500;1;11;1;1;
ГРОЗНЫЙ500;rdspnt500;13;4,308;0,392;13;
МОСКВА500;rdspnt500;1;11;1;1;
ПЕТРОЗАВОДСК500;rdspnt500;0;0;0;0;
РОСТОВ-ДОН500;rdspnt500;0;0;0;0;
САЛЕХАРД500;rdspnt500;0;0;0;0;
СУРГУТ500;rdspnt500;0;0;0;0;
УСТЮГ500;rdspnt500;0;0;0;0;
УФА500;rdspnt500;0;0;0;0;
ВОРОНЕЖ1000;rdspnt1000;0;0;0;0;
ГРОЗНЫЙ1000;rdspnt1000;2;7;0,7;2;
МОСКВА1000;rdspnt1000;0;0;0;0;
ПЕТРОЗАВОДСК1000;rdspnt1000;0;0;0;0;
РОСТОВ-ДОН1000;rdspnt1000;0;0;0;0;
САЛЕХАРД1000;rdspnt1000;0;0;0;0;
СУРГУТ1000;rdspnt1000;0;0;0;0;
УСТЮГ1000;rdspnt1000;0;0;0;0;
УФА1000;rdspnt1000;0;0;0;0;
ВОРОНЕЖ200;rlfpnt200;1116;2,072;0,259;1116;
ГРОЗНЫЙ200;rlfpnt200;1207;2,07;0,259;1207;
МОСКВА200;rlfpnt200;917;2,074;0,259;917;
ПЕТРОЗАВОДСК200;rlfpnt200;281;2,114;0,264;281;
РОСТОВ-ДОН200;rlfpnt200;1583;2,039;0,255;1583;
САЛЕХАРД200;rlfpnt200;575;2,054;0,257;575;
СУРГУТ200;rlfpnt200;15;2,8;0,35;15;
УСТЮГ200;rlfpnt200;331;2,094;0,262;331;
УФА200;rlfpnt200;463;2,095;0,262;463;
ВОРОНЕЖ500;rlfpnt500;0;0;0;0;
ГРОЗНЫЙ500;rlfpnt500;74;2,257;0,282;74;
МОСКВА500;rlfpnt500;0;0;0;0;
ПЕТРОЗАВОДСК500;rlfpnt500;0;0;0;0;
РОСТОВ-ДОН500;rlfpnt500;93;2,333;0,292;93;
САЛЕХАРД500;rlfpnt500;92;2,076;0,26;92;
СУРГУТ500;rlfpnt500;0;0;0;0;
УСТЮГ500;rlfpnt500;2;5;0,625;2;
УФА500;rlfpnt500;77;2,078;0,26;77;
ВОРОНЕЖ1000;rlfpnt1000;69;2,841;0,355;69;
ГРОЗНЫЙ1000;rlfpnt1000;73;3,247;0,406;73;
МОСКВА1000;rlfpnt1000;81;2,914;0,364;81;
ПЕТРОЗАВОДСК1000;rlfpnt1000;88;3,102;0,388;88;
РОСТОВ-ДОН1000;rlfpnt1000;76;2,934;0,367;76;
САЛЕХАРД1000;rlfpnt1000;105;2,848;0,356;105;
СУРГУТ1000;rlfpnt1000;101;2,624;0,328;101;
УСТЮГ1000;rlfpnt1000;90;2,811;0,351;90;
УФА1000;rlfpnt1000;114;3,044;0,38;114;
ВОРОНЕЖ200;rlhpnt200;476;2,355;0,294;476;
ВОРОНЕЖ500;rlhpnt500;311;2,412;0,301;311;
ВОРОНЕЖ1000;rlhpnt1000;69;2,841;0,355;69;
ВОРОНЕЖ200;rrspnt200;409;3,154;0,394;409;
ГРОЗНЫЙ200;rrspnt200;143;3,364;0,42;143;
МОСКВА200;rrspnt200;1052;2,822;0,353;1052;
ПЕТРОЗАВОДСК200;rrspnt200;207;3,246;0,406;207;
РОСТОВ-ДОН200;rrspnt200;390;3,133;0,392;390;
САЛЕХАРД200;rrspnt200;1;8;1;1;
СУРГУТ200;rrspnt200;27;3,852;0,481;27;
УСТЮГ200;rrspnt200;214;3,117;0,39;214;
УФА200;rrspnt200;202;3,337;0,417;202;
ВОРОНЕЖ500;rrspnt500;160;3,644;0,455;160;
ГРОЗНЫЙ500;rrspnt500;65;3,769;0,471;65;
МОСКВА500;rrspnt500;451;3,31;0,414;451;
ПЕТРОЗАВОДСК500;rrspnt500;106;3,802;0,475;106;
РОСТОВ-ДОН500;rrspnt500;156;3,647;0,456;156;
САЛЕХАРД500;rrspnt500;1;8;1;1;
СУРГУТ500;rrspnt500;15;4,4;0,55;15;
УСТЮГ500;rrspnt500;88;3,75;0,469;88;
УФА500;rrspnt500;75;3,747;0,468;75;
ВОРОНЕЖ1000;rrspnt1000;53;3,981;0,498;53;
ГРОЗНЫЙ1000;rrspnt1000;22;4;0,5;22;
МОСКВА1000;rrspnt1000;116;3,716;0,464;116;
ПЕТРОЗАВОДСК1000;rrspnt1000;33;4,061;0,508;33;
РОСТОВ-ДОН1000;rrspnt1000;60;3,917;0,49;60;
САЛЕХАРД1000;rrspnt1000;1;8;1;1;
СУРГУТ1000;rrspnt1000;15;4;0,5;15;
УСТЮГ1000;rrspnt1000;26;3,923;0,49;26;
УФА1000;rrspnt1000;38;3,763;0,47;38;
ВОРОНЕЖ200;vegpnt200;3419;2,018;0,252;3419;
ВОРОНЕЖ500;vegpnt500;238;2,029;0,254;238;
ВОРОНЕЖ1000;vegpnt1000;44;2,136;0,267;44;
