Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
САЛЕХАРД200;forlin200.shp;1490;235;29;416032829;2010416;5418;5093;498;5098;1777918;601;3,003;0,601;601;
СУРГУТ200;forlin200.shp;14449;876;25;687509061;15052733;3987;3801;315;3803;790240;6744;2,999;0,6;6744;
УСТЮГ200;forlin200.shp;29383;6231;15;686070995;20711554;1995;1933;82;1935;111015;10934;2,994;0,599;10934;
УФА200;forlin200.shp;18609;7174;8;379941295;8167506;1832;1812;40;1812;53475;4808;2,998;0,6;4808;
ВОРОНЕЖ500;forlin500.shp;322;144;8;97383925;532999;7475;7392;165;7392;681006;65;3,031;0,606;65;
ГРОЗНЫЙ500;forlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
МОСКВА500;forlin500.shp;1528;605;11;392541869;2079157;5547;5359;234;5371;771202;379;3,005;0,601;379;
ПЕТРОЗАВОДСК500;forlin500.shp;4020;1508;8;1105127258;6330496;7410;7286;188;7289;756936;993;3,002;0,6;993;
РОСТОВ-ДОН500;forlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
САЛЕХАРД500;forlin500.shp;346;142;4;99035430;482205;7842;7781;155;7781;733596;73;3,027;0,605;73;
СУРГУТ500;forlin500.shp;1463;654;13;1188835621;2136318;7706;7444;414;7453;1945721;235;3,013;0,603;235;
УСТЮГ500;forlin500.shp;3813;1793;9;2634618878;7658509;10424;10249;261;10254;1475977;659;3,003;0,601;659;
УФА500;forlin500.shp;956;431;6;301899934;1678601;7714;7622;159;7627;715403;197;3,01;0,602;197;
ВОРОНЕЖ500;gphlin500.shp;477;135;8;65534443854;1153942;76919;69655;9958;69906;485440325;14;3,286;0,821;14;
ГРОЗНЫЙ500;gphlin500.shp;44;12;9;729322400;112462;21941;16380;3516;17711;60776867;2;3,5;0,875;2;
МОСКВА500;gphlin500.shp;938;250;9;76074578947;2184706;54818;46807;8180;47224;304298316;25;3,16;0,79;25;
ПЕТРОЗАВОДСК500;gphlin500.shp;1045;334;13;234177526194;1734898;74360;63531;10589;63730;701130318;14;3,286;0,821;14;
РОСТОВ-ДОН500;gphlin500.shp;378;73;9;20607802813;1276708;57198;47325;7349;48937;282298669;13;3,077;0,769;13;
САЛЕХАРД500;gphlin500.shp;717;410;2;344186899334;1354034;101684;95873;9234;96272;839480242;7;3,714;0,929;7;
СУРГУТ500;gphlin500.shp;252;176;2;11752531123;661452;92234;92131;1184;92131;67157321;4;4;1;4;
УСТЮГ500;gphlin500.shp;1151;509;7;73029669386;1500925;40679;36131;4726;36339;144613207;15;3,267;0,817;15;
УФА500;gphlin500.shp;374;161;3;17476402959;666771;38471;36906;2724;36906;108549087;10;3,4;0,85;10;
ВОРОНЕЖ200;hdclin200.shp;545;100;23;7390766;157780;1071;980;115;992;73908;177;3,288;0,253;177;
ВОРОНЕЖ500;hdclin500.shp;29;7;93;3295429;31080;3351;1882;594;2475;470776;10;4,4;0,338;10;
ВОРОНЕЖ1000;hdclin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
