Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ГРОЗНЫЙ1000;csrpol1000.shp;21;5677411;18921;1892470;6307;3;9,333;0,718;3;
МОСКВА1000;csrpol1000.shp;22;60376433;30618;60376433;30618;1;13;1;1;
ПЕТРОЗАВОДСК1000;csrpol1000.shp;139;626952824;153231;313476412;76615;2;9;0,692;2;
РОСТОВ-ДОН1000;csrpol1000.shp;0;0;0;0;0;0;0;0;0;
САЛЕХАРД1000;csrpol1000.shp;0;0;0;0;0;0;0;0;0;
СУРГУТ1000;csrpol1000.shp;505;8479987666;443150;4239993833;221575;2;10,5;0,808;2;
УСТЮГ1000;csrpol1000.shp;0;0;0;0;0;0;0;0;0;
УФА1000;csrpol1000.shp;588;1004516983;211713;502258491;105857;2;9;0,692;2;
ВОРОНЕЖ500;ghppol500.shp;64;2591217455;317509;1295608728;158754;2;6;1;2;
ГРОЗНЫЙ500;ghppol500.shp;0;0;0;0;0;0;0;0;0;
МОСКВА500;ghppol500.shp;30;687807563;110039;687807563;110039;1;6;1;1;
ПЕТРОЗАВОДСК500;ghppol500.shp;38;96414696;37488;96414696;37488;1;6;1;1;
РОСТОВ-ДОН500;ghppol500.shp;0;0;0;0;0;0;0;0;0;
САЛЕХАРД500;ghppol500.shp;0;0;0;0;0;0;0;0;0;
СУРГУТ500;ghppol500.shp;0;0;0;0;0;0;0;0;0;
УСТЮГ500;ghppol500.shp;0;0;0;0;0;0;0;0;0;
УФА500;ghppol500.shp;7;1556425;6604;1556425;6604;1;6;1;1;
ВОРОНЕЖ200;gndpol200.shp;11047;627681354;1945649;965664;2993;650;4,008;0,573;650;
ВОРОНЕЖ500;gndpol500.shp;1790;180747359;595061;1434503;4723;126;4,032;0,576;126;
ВОРОНЕЖ1000;gndpol1000.shp;449;215317041;247251;10253192;11774;21;4,143;0,592;21;
ВОРОНЕЖ200;hdcpol200.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ500;hdcpol500.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ1000;hdcpol1000.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ200;hdrpol200.shp;49576;12985218970;9171157;3614033;2553;3593;4,014;0,268;3593;
ВОРОНЕЖ500;hdrpol500.shp;6912;690356778;1598172;1558367;3608;443;4,045;0,27;443;
ВОРОНЕЖ1000;hdrpol1000.shp;959;432133534;418270;7856973;7605;55;4,255;0,284;55;
ВОРОНЕЖ200;hdtpol200.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ500;hdtpol500.shp;0;0;0;0;0;0;0;0;0;
УСТЮГ500;pipol500.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ500;pippol500.shp;0;0;0;0;0;0;0;0;0;
ГРОЗНЫЙ500;pippol500.shp;0;0;0;0;0;0;0;0;0;
МОСКВА500;pippol500.shp;0;0;0;0;0;0;0;0;0;
ПЕТРОЗАВОДСК500;pippol500.shp;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН500;pippol500.shp;0;0;0;0;0;0;0;0;0;
САЛЕХАРД500;pippol500.shp;26;2647679;10288;1323839;5144;2;6,5;0,812;2;
СУРГУТ500;pippol500.shp;8;517310;3058;517310;3058;1;8;1;1;
УФА500;pippol500.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ200;poppol200.shp;67328;9090381129;20117988;3055590;6762;2975;4,724;0,337;2975;
ГРОЗНЫЙ200;poppol200.shp;20148;2643573167;5792226;2960328;6486;893;5,129;0,366;893;
МОСКВА200;poppol200.shp;126328;11684350259;31095268;1383582;3682;8445;4,666;0,333;8445;
ПЕТРОЗАВОДСК200;poppol200.shp;16977;885546010;3383914;788554;3013;1123;4,907;0,351;1123;
РОСТОВ-ДОН200;poppol200.shp;39165;7576748616;13455395;4420507;7850;1714;4,892;0,349;1714;
САЛЕХАРД200;poppol200.shp;461;41743738;129506;1018140;3159;41;5,463;0,39;41;
СУРГУТ200;poppol200.shp;1231;275546354;440234;2811697;4492;98;4,908;0,351;98;
УСТЮГ200;poppol200.shp;45552;2302756157;11342175;574253;2828;4010;4,805;0,343;4010;
УФА200;poppol200.shp;45172;3959173376;12076424;1394075;4252;2840;4,832;0,345;2840;
ВОРОНЕЖ500;poppol500.shp;45696;8776118743;16922168;4693112;9049;1870;4,792;0,342;1870;
ГРОЗНЫЙ500;poppol500.shp;9367;2267799202;4792526;3039945;6424;746;4,956;0,354;746;
МОСКВА500;poppol500.shp;47951;7768909586;16053317;2507718;5182;3098;4,806;0,343;3098;
ПЕТРОЗАВОДСК500;poppol500.shp;10266;823795594;2865088;1206143;4195;683;4,906;0,35;683;
РОСТОВ-ДОН500;poppol500.shp;28888;6109445952;11812927;3799407;7346;1608;4,709;0,336;1608;
САЛЕХАРД500;poppol500.shp;293;32023272;102345;1104251;3529;29;5,69;0,406;29;
СУРГУТ500;poppol500.shp;984;185428477;365817;2540116;5011;73;5,233;0,374;73;
УСТЮГ500;poppol500.shp;19044;1635217174;6566073;909971;3654;1797;4,888;0,349;1797;
УФА500;poppol500.shp;41244;2962912901;9442612;1390386;4431;2131;4,852;0,347;2131;
ГРОЗНЫЙ1000;poppol1000.shp;1266;908957708;1045252;10820925;12443;84;5,25;0,375;84;
МОСКВА1000;poppol1000.shp;4003;4492234107;2856074;28612956;18192;157;5,115;0,365;157;
ПЕТРОЗАВОДСК1000;poppol1000.shp;824;257818701;507659;3222734;6346;80;4,675;0,334;80;
РОСТОВ-ДОН1000;poppol1000.shp;4500;3584938323;3594441;17071135;17116;210;5,086;0,363;210;
САЛЕХАРД1000;poppol1000.shp;15;8863698;14702;8863698;14702;1;14;1;1;
СУРГУТ1000;poppol1000.shp;146;131489515;107556;14609946;11951;9;6,333;0,452;9;
УСТЮГ1000;poppol1000.shp;659;231781358;393827;5150697;8752;45;5,089;0,363;45;
УФА1000;poppol1000.shp;962;528627590;645250;8259806;10082;64;4,844;0,346;64;
ВОРОНЕЖ200;rlfpol2000.shp;434;7038013;54743;281521;2190;25;4,48;0,498;25;
ГРОЗНЫЙ200;rlfpol200.shp;8164;439631308;1813649;1029582;4247;427;4,047;0,45;427;
МОСКВА200;rlfpol200.shp;827;10309165;92531;171819;1542;60;4,417;0,491;60;
ПЕТРОЗАВОДСК200;rlfpol200.shp;2126;31860239;287419;254882;2299;125;4,088;0,454;125;
РОСТОВ-ДОН200;rlfpol200.shp;140;1231461;16728;87961;1195;14;4,5;0,5;14;
САЛЕХАРД200;rlfpol200.shp;4648;2131974630;2522662;7326373;8669;291;4,034;0,448;291;
СУРГУТ200;rlfpol200.shp;211;3348081;28886;209255;1805;16;4,375;0,486;16;
УСТЮГ200;rlfpol200.shp;19;121385;1741;121385;1741;1;9;1;1;
ВОРОНЕЖ500;rlfpol500.shp;52;2321827;16754;464365;3351;5;5,2;0,578;5;
ГРОЗНЫЙ500;rlfpol500.shp;3358;830146508;1185197;7758379;11077;107;4,047;0,45;107;
