Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
САЛЕХАРД200;rdslin200.shp;17835;6793;14;7812142563;7562176;3979;3794;349;3794;1151724;992;3.017;0.251;992;
САЛЕХАРД200;rlflin200.shp;1245;311;21;18698759;207815;756;686;107;688;60319;270;3.022;0.432;270;
САЛЕХАРД200;rrslin200.shp;641;246;13;703136503;296378;7613;7294;542;7294;2858278;10;3.600;0.514;10;
СУРГУТ200;admlin200.shp;204;98;24;339229723;265297;6976;6589;586;6596;3461528;1;4.000;1.000;1;
СУРГУТ200;bldlin200.shp;10;0;0;0;1398;NaN;NaN;NaN;NaN;NaN;5;3.200;0.800;5;
СУРГУТ200;comlin200.shp;2322;1152;19;6632740084;3909738;10405;10062;770;10069;5757587;170;2.594;0.324;170;
СУРГУТ200;crdlin200.shp;1682;40;0;61836754;2554663;50701;50701;47;50701;1627283;49;2.449;0.408;49;
СУРГУТ200;csrlin200.shp;61;18;63;813572;9843;591;351;152;378;45198;9;4.000;0.400;9;
СУРГУТ200;forlin200.shp;14449;876;25;687509061;15052733;3987;3801;315;3803;790240;6744;2.999;0.600;6744;
СУРГУТ200;piplin200.shp;4011;1606;13;9261771609;3237508;8040;7629;758;7631;5770574;208;3.091;0.258;208;
СУРГУТ200;rdclin200.shp;81;15;10;11659022;41916;4564;4413;328;4413;777268;24;4.208;0.301;24;
СУРГУТ200;rdslin200.shp;25403;8830;17;4618235872;9424674;2496;2333;267;2335;523135;2487;3.013;0.251;2487;
СУРГУТ200;rlflin200.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
СУРГУТ200;rrslin200.shp;504;165;10;5902407199;380122;23300;21329;2006;21329;35772165;27;3.222;0.460;27;
УСТЮГ200;admlin200.shp;1852;929;32;1126618691;1363170;3960;3612;401;3631;1214029;9;3.111;0.778;9;
УСТЮГ200;bldlin200.shp;20125;1612;49;25657481;2871061;443;386;79;387;16016;9159;2.855;0.714;9159;
УСТЮГ200;comlin200.shp;9024;4690;16;7752827696;6563767;5185;5062;307;5063;1656587;838;2.514;0.314;838;
УСТЮГ200;crdlin200.shp;80;0;0;0;2209214;NaN;NaN;NaN;NaN;NaN;40;2.625;0.438;40;
УСТЮГ200;csrlin200.shp;79;15;72;1003068;12973;728;293;212;348;66871;15;3.800;0.380;15;
УСТЮГ200;forlin200.shp;29383;6231;15;686070995;20711554;1995;1933;82;1935;111015;10934;2.994;0.599;10934;
УСТЮГ200;piplin200.shp;23;13;13;50485557;46338;11287;11153;492;11153;3883504;2;7.500;0.625;2;
УСТЮГ200;rdclin200.shp;408;100;11;31529374;163826;1909;1875;118;1875;315294;125;3.216;0.230;125;
УСТЮГ200;rdslin200.shp;111374;35914;18;6978566222;34438619;1653;1565;163;1566;194503;21833;2.972;0.248;21833;
УСТЮГ200;rlflin200.shp;2799;843;17;60659279;403110;788;727;101;728;72820;434;3.016;0.431;434;
УСТЮГ200;rrslin200.shp;4247;1636;13;2810199378;2462046;6103;5870;425;5872;1724049;330;3.036;0.434;330;
УФА200;admlin200.shp;366;181;28;141000082;217888;2466;2156;363;2178;779006;4;3.250;0.812;4;
УФА200;bldlin200.shp;29984;2313;58;46523019;4428044;481;390;100;395;20307;13682;2.784;0.696;13682;
УФА200;comlin200.shp;7060;3330;18;20010417063;9917100;8843;8585;603;8588;6041793;834;2.514;0.314;834;
УФА200;crdlin200.shp;277;7;0;11210659;1747213;38974;38974;50;38974;1868443;31;2.452;0.409;31;
УФА200;csrlin200.shp;505;178;38;77958975;173511;1811;1497;294;1520;437972;30;3.467;0.347;30;
УФА200;forlin200.shp;18609;7174;8;379941295;8167506;1832;1812;40;1812;53475;4808;2.998;0.600;4808;
УФА200;piplin200.shp;4239;2009;14;4621824147;3711804;6479;6318;399;6319;2321358;403;3.047;0.254;403;
УФА200;rdclin200.shp;778;235;13;0;5;NaN;NaN;NaN;NaN;NaN;175;3.223;0.230;175;
УФА200;rdslin200.shp;107086;36540;19;7331727153;35291195;1699;1606;169;1607;201018;19312;2.977;0.248;19312;
УФА200;rlflin200.shp;9440;3345;22;256904621;1768537;877;805;103;810;76964;1483;3.003;0.429;1483;
УФА200;rrslin200.shp;2874;1054;15;1723929843;1216850;4475;4207;416;4211;1635607;174;3.063;0.438;174;
